id,speed
0,49.074078
1,47.052696
2,39.180176
3,31.720621
4,40.97169
5,24.582552
6,19.680996
7,49.94005
8,48.15305
9,33.388042
10,33.458546
11,25.50286
12,25.519228
13,27.744413
14,30.125965
15,40.435608
16,43.023808
17,48.473076
18,48.605446
19,49.06719
20,45.158115
21,42.419193
22,17.898287
23,32.602848
24,26.021774
25,19.461876
26,20.680197
27,22.876068
28,15.78844
29,10.800859
30,26.183475
31,48.705
32,49.32879
33,30.457754
34,31.384373
35,26.505941
36,20.234625
37,20.105257
38,47.314255
39,40.713924
40,46.78192
41,47.569984
42,49.050735
43,43.237972
44,19.922628
45,18.043758
46,17.184214
47,12.098125
48,45.701763
49,49.398582
50,49.19395
51,24.711267
52,22.468197
53,21.474092
54,18.59747
55,21.252573
56,12.297335
57,17.519142
58,26.942104
59,35.180737
60,44.008106
61,38.412228
62,39.17328
63,41.36359
64,45.51947
65,48.15921
66,47.70802
67,45.845013
68,42.905403
69,28.266378
70,24.8531
71,17.64748
72,15.856101
73,16.90708
74,11.904074
75,7.057313
76,41.49399
77,39.219044
78,43.9875
79,47.573277
80,14.265971
81,18.546991
82,22.158632
83,14.388103
84,18.73479
85,13.135126
86,19.36709
87,35.977493
88,44.7616
89,41.382072
90,49.154
91,48.502865
92,46.738728
93,45.712524
94,26.923702
95,15.610073
96,20.72967
97,10.209744
98,10.433315
99,19.87785
100,41.128067
101,46.851303
102,15.985278
103,16.941568
104,14.035877
105,43.35783
106,34.12948
107,49.240395
108,44.113712
109,15.093639
110,9.012824
111,10.779422
112,19.26157
113,33.980194
114,35.551353
115,48.133007
116,48.105442
117,41.640144
118,27.634657
119,24.630209
120,19.454031
121,17.244938
122,35.141857
123,47.394634
124,47.62386
125,41.544582
126,42.190918
127,40.961918
128,42.92782
129,33.202946
130,49.43006
131,47.57495
132,47.123756
133,28.115953
134,23.174608
135,23.145285
136,39.965416
137,47.454777
138,50.688725
139,47.893433
140,47.580597
141,44.732544
142,24.556805
